AES,ChaCha20,TLS
97.62109375,97.66015625,98.95703125
98.9609375,98.96484375,98.96484375
98.96484375,98.96484375,98.96484375
98.96484375,98.96484375,98.96484375
98.96875,98.96875,98.96875
98.96875,98.96875,98.96875
98.96875,98.97265625,98.97265625
98.97265625,98.9765625,98.98046875
98.98046875,98.98046875,98.984375
98.984375,98.984375,98.984375
98.984375,98.984375,98.984375
98.984375,98.984375,98.98828125
98.98828125,98.98828125,98.98828125
98.98828125,98.98828125,98.98828125
98.98828125,98.98828125,98.98828125
98.98828125,98.98828125,98.98828125
98.98828125,98.98828125,98.99609375
98.99609375,98.99609375,98.99609375
98.99609375,98.99609375,98.99609375
98.99609375,98.99609375,98.99609375
98.99609375,98.99609375,98.99609375
98.99609375,98.99609375,98.99609375
98.99609375,98.99609375,98.99609375
98.99609375,98.99609375,98.99609375
98.99609375,98.99609375,98.99609375
98.99609375,98.99609375,98.99609375
98.99609375,98.99609375,98.99609375
98.99609375,98.99609375,98.99609375
98.99609375,98.99609375,99.07421875
99.07421875,99.07421875,99.07421875
99.07421875,99.07421875,99.07421875
99.07421875,99.07421875,99.07421875
99.07421875,99.07421875,99.07421875
99.07421875,99.07421875,99.07421875
99.07421875,99.07421875,99.07421875
99.07421875,99.07421875,99.078125
99.078125,99.078125,99.078125
99.078125,99.078125,99.078125
99.078125,99.078125,99.078125
99.078125,99.078125,99.078125
99.078125,99.078125,99.078125
99.078125,99.078125,99.078125
99.078125,99.078125,99.078125
99.078125,99.078125,99.078125
99.078125,99.078125,99.078125
99.078125,99.078125,99.078125
99.078125,99.078125,99.08203125
99.08203125,99.08203125,99.08203125
99.08203125,99.08203125,99.08203125
99.08203125,99.08203125,99.08203125
