AES,ChaCha20,TLS
0.1356356143951416,0.036098480224609375,0.03857922554016113
0.033974647521972656,0.03224802017211914,0.09224987030029297
0.03351163864135742,0.03512144088745117,0.09407424926757812
0.034424543380737305,0.03241467475891113,0.10171222686767578
0.03409075736999512,0.040435791015625,0.08545970916748047
0.03254532814025879,0.03229928016662598,0.08980965614318848
0.03145480155944824,0.03347444534301758,0.09118485450744629
0.03490591049194336,0.03616786003112793,0.0861518383026123
0.030192852020263672,0.03214669227600098,0.08182501792907715
0.036954641342163086,0.033704519271850586,0.08818197250366211
0.031954050064086914,0.034209489822387695,0.08865928649902344
0.03249335289001465,0.030617475509643555,0.08304810523986816
0.03433656692504883,0.03693366050720215,0.08837080001831055
0.03463554382324219,0.03326869010925293,0.08218145370483398
0.033440351486206055,0.03247785568237305,0.08425498008728027
0.03268623352050781,0.031644582748413086,0.08508992195129395
0.033736467361450195,0.03174591064453125,0.0885324478149414
0.031545162200927734,0.035483360290527344,0.08779454231262207
0.03271007537841797,0.032816410064697266,0.09830570220947266
0.03157329559326172,0.03419065475463867,0.08610248565673828
0.03280782699584961,0.03321671485900879,0.08592557907104492
0.03329586982727051,0.03332185745239258,0.08631396293640137
0.03273463249206543,0.032293081283569336,0.0901641845703125
0.03313040733337402,0.03241896629333496,0.0870504379272461
0.030631303787231445,0.03270292282104492,0.08313369750976562
0.03174614906311035,0.03227829933166504,0.09371519088745117
0.034751176834106445,0.03369545936584473,0.08400392532348633
0.03914165496826172,0.035624027252197266,0.08209109306335449
0.036820173263549805,0.03543829917907715,0.0840003490447998
0.031844377517700195,0.03182673454284668,0.08180594444274902
0.03265786170959473,0.03561592102050781,0.0836033821105957
0.035219669342041016,0.0328218936920166,0.0858011245727539
0.03261232376098633,0.03238272666931152,0.08146166801452637
0.03152155876159668,0.03185677528381348,0.08656191825866699
0.031162500381469727,0.031595468521118164,0.0824737548828125
0.0317234992980957,0.03397369384765625,0.08890700340270996
0.03211045265197754,0.031279802322387695,0.0921480655670166
0.030876636505126953,0.03130984306335449,0.09090662002563477
0.03373289108276367,0.03463888168334961,0.08893847465515137
0.033349037170410156,0.033315181732177734,0.09641146659851074
0.03123331069946289,0.03200721740722656,0.003373861312866211
0.033998966217041016,0.03205132484436035,0.08644223213195801
0.0341801643371582,0.03235912322998047,0.08792281150817871
0.03610944747924805,0.03129434585571289,0.10230159759521484
0.05771017074584961,0.04463458061218262,0.11714887619018555
0.033118486404418945,0.030250072479248047,0.08380913734436035
0.03269386291503906,0.0316624641418457,0.09555220603942871
0.032341957092285156,0.03195309638977051,0.09112858772277832
0.03371381759643555,0.03261160850524902,0.08439397811889648
0.033634185791015625,0.033255815505981445,0.09618234634399414
